sentences,labels
The path was as winding as a river.,1
He is as powerful as a hurricane.,1
The city is as crowded as a beehive.,1
She is as pure as an angel.,1
He is as slow as a snail.,1
The sunset is as beautiful as a masterpiece.,1
She sings as sweetly as a nightingale.,1
He works as tirelessly as a machine.,1
The snow is as white as a swan's feathers.,1
The sky is as blue as a sapphire.,1
She is as intelligent as a physicist.,1
The water is as clear as a diamond.,1
She is as delicate as a flower.,1
The music is as lively as a carnival.,1
He is as reliable as a clock.,1
The party was as wild as a jungle.,1
She is as warm as a summer day.,1
She is as beautiful as a rose.,1
He is as boring as watching grass grow.,1
The dress is as red as a rose.,1
The game is as intense as a battle.,1
He is as weak as a kitten.,1
The night is as dark as a bat.,1
She is as determined as a bulldog.,1
He is as determined as a lion.,1
The breakfast is as delicious as a feast.,1
He is as slippery as an eel.,1
The movie is as thrilling as a rollercoaster.,1
She is as cold as a statue.,1
He is as slippery as a snake.,1
The dress is as green as grass.,1
She is as pretty as a picture.,1
He is as mad as a hatter.,1
The day is as bright as a button.,1
She is as tough as a boot.,1
The drink is as cold as ice.,1
You were as brave as a lion.,1
They fought like cats and dogs.,1
He is as funny as a barrel of monkeys.,1
This house is as clean as a whistle.,1
He is as strong as an ox.,1
Your explanation is as clear as mud.,1
The grass was as soft as a feather bed.,1
That is as easy as shooting fish in a barrel.,1
This contract is as solid as the ground.,1
That guy is as nutty as a fruitcake.,1
You sit like a bump on a log.,1
The smell of fresh-cut grass was as refreshing as a cool breeze on a hot summer day.,1
They are as different as night and day.,1
She is as thin as a rake.,1
I slept like a log.,1
This dress fits like a glove.,1
I stand out like a sore thumb.,1
My love for you is as deep as the ocean.,1
The grass was as vibrant as a painting of a lush countryside.,1
I have been working like a donkey.,1
The blades of grass were as slender as a ballerina's legs.,1
You are as cold as ice.,1
You are as steady as a preacher.,1
The garden was as colorful as a rainbow.,1
The plants in the garden were as tall as giants.,1
The garden was as peaceful as a still lake.,1
My Mistress' Eyes are as shiny as the sun.,1
An emerald is as green as grass.,1
A ruby is red like the blood.,1
A sapphire shines like blue heaven.,1
The fragrant aroma of the garden was as sweet as honey.,1
The strawberry was as red as a rose.,1
The watermelon was as juicy as a sponge.,1
He looked about as inconspicuous as a tarantula on a slice of angel food.,1
"The stooped forms inched in an uneven line, like a wave, across the onion field. ",1
The kiwi was as fuzzy as a peach.,1
You are as slow as snail.,1
The apple was as crisp as a fall morning.,1
The mango was as sweet as honey.,1
Our soldiers are as brave as lions.,1
Her cheeks are red like a rose.,1
He is as funny as a monkey.,1
The water well was as dry as a bone.,1
He is as cunning as a fox.,1
The glow of the tube-light was as bright as the sunshine.,1
The petals of the rose were as soft as a baby's skin.,1
The daisy's yellow center was as vibrant as the sun in the sky.,1
The lavender scent was as calming as a gentle breeze on a warm day.,1
The tulip's stem was as straight as an arrow pointing towards the sky.,1
Children were fighting like cats and dogs.,1
The friendship of the two countries was as deep as an ocean.,1
The celery was as crisp as a freshly picked apple.,1
The carrots were as bright as a sunny day in spring.,1
The broccoli looked like a miniature tree.,1
The tomato was as juicy as a ripe peach.,1
The zucchini was as long and slender as a graceful ballerina.,1
Her dress was as bright as a summer sunflower.,1
The history paper was as tricky as a labyrinth.,1
The fabric of his shirt was as soft as a cloud.,1
The coat hung off his shoulders like a heavy burden.,1
You are as rash as fire.,1
Her scarf wrapped around her neck like a warm embrace.,1
His temper was as explosive as a volcano.,1
The sweater hugged his body like a second skin.,1
The cat was as quick as lightning.,1
She is as dull as a doorknob.,1
Curley was flopping like a fish on a line. ,1
The moon was as bright as a polished silver plate.,1
The moon hung in the sky like a glowing lantern.,1
Grandpa lounged on the raft like an old battleship.,1
The people were stuck in place like wax statues.,1
The bottle rolled off the table like a teardrop.,1
The moon appeared as round as a freshly baked dinner roll.,1
The moon's light shimmered on the water like a trail of sparkling diamonds.,1
Arguing with her was like dueling with hand grenades.,1
The classroom was as quiet as a tongue-tied librarian in a hybrid car.,1
The study of astrology is as vast as the universe.,1
Her hair was as soft as a spider web.,1
You are as soft as the nesting dove.,1
The town square was buzzing like a beehive.,1
The sound of chirping birds was as comforting as a warm blanket on a cold day.,1
The smell of pine needles was as refreshing as a cold glass of water on a hot day.,1
The flowers were as soft as thoughts of budding love.,1
The forest floor was soft like a carpet.,1
Tiny voices as clear as drops of dew.,1
Their baby's cries were lovely like jeweled butterflies.,1
She was as distant as a remote tropical island.,1
Pond are as clear as elemental diamond.,1
Face of the waters that spread away Was as gray as the face of the dead.,1
My soul is lost like a ship unruddered in a shoreless sea.,1
Hours that move like a glitter of dancers.,1
The twilight sky was as colorful as a painter's palette.,1
A blind rage like a fire swept over him.,1
A book that tears like a broken saw.,1
The twilight air was as refreshing as a dip in a mountain stream.,1
The clouds were as white as snow in the sunlight.,1
The clouds were as dark as charcoal before the storm hit.,1
A cluster of stars hangs like fruit in the tree.,1
The sea was as smooth as glass.,1
The room was as cold as ice.,1
Her personality had become as dull as a dead leaf.,1
A drowsy murmur floats into the air like thistledown.,1
A face is as imperturbable as fate.,1
A face is as pale as wax.,1
A face tempered like steel.,1
Her eyes sparkled like diamonds in the sun.,1
Her body was as curvy as an hourglass.,1
Basketball players play like beasts.,1
Giant galleon looked like misty monster.,1
voice was as soothing as a lullaby.,1
A glance that flitted like a bird.,1
The moon is as red as blood.,1
A grim face was shaped like a carved mask.,1
A hand as cold as death.,1
Noble sentiments sprang like sparks from an anvil.,1
A jeweler that glittered like his shop.,1
A lady that leaned on his arm like a queen.,1
A Presence moved like the air.,1
A life is played like a game of chess,1
The athlete's muscles were as strong as steel cables.,1
The firecracker popped as loudly as a thunderstorm.,1
A list of our unread books torments us like a list of murders.,1
A little breeze ran through the corn like a swift serpent.,1
A little weed-clogged ship is as gray as a ghost.,1
Daylight poured into the room like a golden river,1
The brightness of daylight was as blinding as a thousand camera flashes.,1
The daylight was as refreshing like a cool glass of water on a hot summer day.,1
Thoughts in the mind are constantly flowing like waves in the ocean.,1
Sleep is as peaceful as a calm lake on a clear day.,1
A name is as significant as a fingerprint.,1
The soul is as boundless as the sky.,1
A purpose is as steady as flame.,1
The soul is as delicate as a butterfly.,1
A quibbling mouth that snapped like a lizard catching flies.,1
A warm look comfort others like a ray of sunshine.,1
A reputation that swelled like a sponge.,1
Her lips were as red as a sparkling ruby in the sunlight.,1
The wine tasted as rich as a fine ruby red.,1
The silver moon hung in the sky like a glowing pearl.,1
A slow thought that crept like a cold worm through all his brain.,1
A smile flashed like sunshine over a flower.,1
The sounds of the twilight were as quiet as a whisper.,1
The intensity of her passion burned as brightly as the fiery depths of a ruby gemstone.,1
A soul as white as heaven.,1
The singer's voice was as sweet as honey.,1
A stooping girl as pale as a pearl.,1
A sudden sense of fear ran through her nerves like the chill of an icy wind.,1
A sweet voice caroling like a gold-caged nightingale.,1
The violinist's notes were as delicate as a butterfly's wings.,1
The car engine roared to life like a lion's growl.,1
A vague thought as elusive as the smell of a primrose.,1
A vanishing loveliness as tender as the flush of the rose leaf.,1
A voice as low as the sea.,1
A voice as sweet as a tune.,1
A white bird floats like a drifting leaf.,1
A sky is as clear as sapphire.,1
The car engine roared like a lion's growl.,1
Usain is as agile as a leopard.,1
Father agitated like a storm-tossed ship.,1
The Air as sweft as a wine.,1
The air was as thin as a sheet of paper.,1
The polluted air in the city was as thick as pea soup.,1
Life broke up like some great river's ice at touch of spring.,1
All students are as silent as the sheeted dead.,1
All sounds were lost like the flight of a million arrows.,1
The wind howled through the trees as fiercely as a pack of wolves.,1
All the world lay stretched before him like the open palm of his hand.,1
Patient is as unconscious as a flower.,1
An anxiety can make your thoughts race as fast as a runaway train.,1
An anxiety hung like a dark impenetrable cloud.,1
An ardent face out-looking like a star.,1
The sound of the aeroplane's engines was as loud as a thunderclap.,1
An envious wind crept by like an unwelcome thought.,1
An ideal as comprehensive as the horizon.,1
An immortal spirit dwelt like a bird in an outworn cage.,1
An impudent trick as hackneyed as conjuring rabbits out of a hat.,1
The aeroplane flew past us as quickly as a shooting star.,1
The aeroplane cut through the sky as smoothly as a knife through butter.,1
The coconut was as round as a ball.,1
An omnibus across the bridge crawls like a yellow butterfly.,1
Sadness has fallen like a cloud.,1
An unknown world as wild as primeval chaos.,1
The sounds of the twilight were soothing like a lullaby.,1
The coconut milk was as refreshing as a cool breeze on a hot summer day.,1
Her tears flowed as freely as a river.,1
Thoughts ran like sunshine into rain.,1
The bride's smile was as wide as a rainbow.,1
Her smile was as bright as a beam of sunshine on a cloudy day.,1
Eyes as bright as the day.,1
Fell as cold as a lump of clay.,1
Her cheek was as soft as a rose.,1
Forests as ancient as the hills.,1
Water as clear as elemental diamond.,1
The bride's veil flowed behind her like a river.,1
Night is as welcoming as a friend.,1
Silence can be as heavy as a stone.,1
The absence of sound was as deafening as thunder.,1
She beamed a smile as wide as a blooming flower in a field.,1
He rushed like a cyclone.,1
You are babbling like a child.,1
The bride's eyes sparkled like diamonds.,1
Hammer is as heavy as steel.,1
She looks as beauteous as a water-lily.,1
She is as beautiful as the dawn.,1
Her frustration was as intense as a hurricane.,1
The crowd's excitement was as explosive as a volcano.,1
Beneath a sky as fair as summer flowers.,1
Her body bent like a wand of willow.,1
Coal as black as a foam-swept rock.,1
The athlete's passion was as fierce as a lion's roar.,1
The bird's movements were as graceful as a ballerina.,1
The old wooden fence was as crooked as a dog's hind leg.,1
The white picket fence looked as neat as a pin.,1
His woodworking skills were as steady as a ship sailing through calm waters.,1
He breathed as calmly as a sea at rest.,1
His face is as bright as a diamond in the sun.,1
Dazzling diamond as bright as a fallen fragment of the sky.,1
cloud of an early shower as bright as the coming forth of the morning.,1
tubelights are as bright as the sunbeams.,1
Lonely star as bright as the tear of an angel,1
Gaint was as tall as a mountain.,1
sunshine was as soothing as a gentle massage.,1
The ship's bow sliced through the water like a knife through butter.,1
The beetle was as shiny as a newly polished mirror.,1
Clay is as brown as the sweet smelling loam.,1
The swarm of rats flooded like a dark.,1
The flame burned as bright as the sun on a clear day.,1
Cotton burns like a living coal in the soul.,1
The thunder rumbled across the sky like a stampede of wild elephants.,1
Art fled like some frail exhalation.,1
Butterflies glow like gems.,1
Dhoni as calm as the night.,1
The river flowed smoothly like melted butter,1
The river was as calm as a sleeping baby.,1
His shoulders were as broad as a doorway.,1
The cave was as dark as a moonless night.,1
He had a way with words that was as charming as a magician's spell.,1
She was as chaste as an icicle hanging from a rooftop,1
Cheeks as soft as July peaches.,1
The waves crashed against the shore like a battering ram,1
The thorns were as unforgiving as a bad memory,1
The ant moved as quickly as a flash of lightning across the ground.,1
The city streets were as busy as a train station at rush hour.,1
The city at night was as vibrant as a canvas painted with neon lights.,1
Truth is as clear as a forest pool.,1
Water is as clear as crystal.,1
little hands clenched like rumpled roses.,1
The clouds floated lazily across the sky like giant cotton balls.,1
Clouds are as soft as the petals of a rose.,1
The mirror's reflection was as true as a photograph.,1
The flame flickered like a wild animal in the wind.,1
The flame glowed like a beacon in the darkness.,1
Building Collapsed like a concertina.,1
House colored like a fairy tale.,1
knight was as companionless as the last cloud of an expiring storm.,1
The flame was as hot as a furnace.,1
Personality is as constant as gliding waters.,1
She is contending like ants for little molehill realms.,1
Carrier as continuous as the stars that shine.,1
gaze was as cold as ice.,1
Her hair was as radiant as a cascade of gold.,1
grandfather as slow as snail,1
punishment as cruel as death.,1
Child as curious as a lynx.,1
Matter is as dense as a brick,1
child as dainty as flowers.,1
heroine dance like a wave of the sea.,1
humour as dark as night.,1
road as dark as pitch.,1
Keeping a secret can be as heavy as carrying a backpack full of rocks.,1
Cat as white as snow in sunshine.,1
hurricane as deafening as elemental force.,1
thief's hands were as quick as lightning.,1
thief was as slippery as an eel.,1
thief moved through the dark like a cat,1
Debasing fancies gather like foul birds.,1
pride as deep as the fathomless sea.,1
thoughts as deep as dark well of sorrow.,1
matter as delicate as nymphs.,1
Her touch was as delicate as a feather floating in the breeze.,1
Denominational lines act like stone walls.,1
Dependency had dropped like a cast-off cloak.,1
Despondency clung to him like a garment that is wet.,1
army as destructive as the lightning flash.,1
kings Die like flies.,1
Her touch was as delicate as a feather floating in the breeze.,1
Ship was disappearing into distance like a hazy sea.,1
captain was dissatisfied like a shadow.,1
medicine dissolve like some unsubstantial vision faded.,1
The rhythm pounded like a heartbeat.,1
student Dogging questions like their own shadow.,1
Her hair shone like silver in the sunlight,1
moon glimmered like a silver coin,1
gdp Drowned like rats.,1
rider as dull as champagne.,1
The mood in the air was as somber as a freshly dug grave.,1
Her expression was as serious as a grave marker.,1
monkey as eager-hearted as a boy.,1
news was as grave as a burial.,1
Ears that seemed as deaf as dead man s ears.,1
engineering is as Easy as a poet's dream.,1
Emotions flashed like the sweep of sun-rent clouds.,1
dreams as eternal as the skies.,1
expressions as evanescent as bubbles.,1
The guitar solo soared like a bird.,1
lineament was as clear as in the sculptor's thought.,1
The falcon soared through the sky like a fighter jet,1
Every phrase sounded like the flash of a scimitar.,1
bomb Exploded like a penny squib.,1
Eyes are as dark as the desert skies.,1
Eyes as luminous as waters of a woodland river.,1
Eyes veiled like bluest water seen through mists of rain.,1
The orchestra swelled like a wave.,1
Eyes as deep as wells of compassionate gloom.,1
Eyes as limpid as pools in shadow.,1
The diving board stretched like a long arm.,1
Faces as pale as evening stars.,1
Beauty Fade away like a cloud in the horizon.,1
dreams as distant as moon.,1
sun sets faintly like a falling dew.,1
The judge was as fair as a perfectly balanced scale,1
The teacher graded the papers as fairly as a referee at a sports game,1
kingdom Fallen like dead leaves on the highway.,1
Space is as vast as an endless ocean.,1
The silence of space is as profound as the depths of the ocean.,1
she Fawning like dumb neglected lap-dogs.,1
The pool was as blue as the sky.,1
His touch was as gentle as velvet.,1
knight as fierce as a bear in defeat.,1
anger as fierce as the flames.,1
The powder was as fine as talcum.,1
The powder was as white as snow.,1
heart was Fixed like a beacon-tower.,1
phoenix Flame like a flag unfurled.,1
The powder floated in the air like a cloud.,1
The powder felt as light as a feather.,1
The powder settled on the ground like a snow.,1
bullet flew like an arrow.,1
The aeroplane's wings were as wide as a giant eagle's.,1
The passengers on the aeroplane were packed in like sardines in a can.,1
The aeroplane flew through the clouds like a fish swimming in ocean.,1
The apple was as red as a stop sign.,1
Her skin was as smooth as the surface of an apple.,1
The taste of the apple was as crisp as a fresh morning breeze.,1
The apple was as round as a ball.,1
The scent of the apple was as sweet as a bouquet of flowers.,1
The apple was as shiny as a polished mirror.,1
The apple's texture was as crunchy as freshly fallen snow.,1
The apple was as juicy as a watermelon on a hot summer day.,1
The flavor of the apple was as tangy as a lemon.,1
The apple was as sweet as honey from the comb.,1
The apple was as refreshing as a cold glass of water on a hot day.,1
The apple's color was as bright as a traffic light.,1
The apple was as wholesome as a mother's embrace.,1
The apple's aroma was as fragrant as a bouquet of herbs.,1
The apple was as comforting as a warm blanket on a cold night.,1
The apple was as tempting as a freshly baked pie.,1
The apple's shape was as perfect as a sculpture.,1
The apple was as flavorful as a gourmet meal.,1
The apple was as pure as a child's laughter.,1
The opportunity was as fleeting as a shooting star.,1
girls are as Gorgeous as the hues of heaven.,1
Grazing through a circulating library as contentedly as cattle in a fresh meadow.,1
The apple was as crisp as biting into a potato chip.,1
Hair as harsh as tropical grass.,1
poems Hangs like a blue thread loosened from the sky.,1
